ramp,restroom,walleye,salmon,panfish,shares
1,1,0.0402678,0.0493442,1.427029,0.0137271214642263
1,1,0.1098434,0,1.990633,0.00374376039933444
1,1,0.0472429,0,1.91659,0.0133111480865225
1,1,0,0,2.549468,0.00332778702163062
1,1,0.1266792,0,2.310986,0.0112312811980033
1,1,0.0575403,0,2.359775,0.00374376039933444
1,1,0,0,2.18057,0.00415973377703827
1,1,0.0527123,0,1.996133,0.00582362728785358
1,1,0.1327963,0,2.089447,0.00873544093178037
1,0,0,0,2.725095,0.0045757071547421
0,1,0,0,2.207694,0.0124792013311148
1,1,0.1607143,0,2.33646,0.00873544093178037
1,1,0.6752208,0,1.373392,0.012063227953411
1,1,0.6906261,0,1.128466,0.0237104825291181
1,1,0.8515543,0,1.160863,0.0162229617304493
1,1,0.7140083,0,1.390976,0.0299500831946755
1,1,0.6544991,0,1.264526,0.00499168053244592
1,1,0.7556086,0,1.279361,0.0257903494176373
1,1,0.5879535,0,1.246248,0.0249584026622296
1,1,0.0816098,0,1.896844,0.00665557404326123
1,1,0.168163,0,1.92582,0.00499168053244592
1,1,0.1894172,0,1.765068,0.0224625623960067
1,1,0.1469056,0,2.156428,0.0124792013311148
0,0,0.0071951,0,2.309834,0.00748752079866889
1,1,0.0717975,0,2.283723,0.00374376039933444
1,0,0.1536175,0,2.354488,0.0062396006655574
1,0,0,0,2.409363,0.00415973377703827
1,0,0.0025882,0,2.329357,0.00582362728785358
1,1,0.1245376,0,2.80643,0.0183028286189684
1,1,0.0647447,0,2.918203,0.0137271214642263
1,1,0,0,2.592394,0.00707154742096506
1,0,0.0869757,0,2.953009,0.00415973377703827
1,1,0.0023394,0,3.11523,0.0212146422628952
0,0,0.1474854,0,2.831827,0.00499168053244592
1,1,0.083068,0,2.595953,0.0128951747088186
1,0,0.0987358,0,2.822852,0.0203826955074875
1,1,0.0539432,0,2.788233,0.00540765391014975
0,0,0.0157483,0,2.677855,0.00540765391014975
1,1,0.0922837,0,1.89203,0.00665557404326123
1,1,0.0679882,0,1.614628,0.0158069883527454
1,1,0.0535106,0,1.769217,0.00540765391014975
1,1,0.0669867,0,1.96971,0.0178868552412646
1,1,0.1179583,0,1.629608,0.0166389351081531
1,1,0.0775723,0,1.561914,0.0045757071547421
1,1,0.0606389,0,1.870244,0.00831946755407654
1,1,0.3336206,0,1.845812,0.012063227953411
1,1,0.0240221,0,1.700781,0.0045757071547421
0,0,0.0455385,0,1.774392,0.00374376039933444
1,1,0.0396091,0,1.986039,0.0062396006655574
1,1,0.0230753,0,3.357683,0.00582362728785358
1,1,0,0,2.485953,0.00374376039933444
1,1,0.3482209,0,1.485934,0.0062396006655574
1,1,0.5975606,0,1.839445,0.00374376039933444
1,1,0.0466428,0.0471443,1.477189,0.00374376039933444
1,1,0.0500044,0.0281995,1.596719,0.00831946755407654
1,1,0.0630215,0.0198626,1.795854,0.00915141430948419
1,1,0.1059713,0.0211431,1.708454,0.00582362728785358
1,1,0.0346533,0.0208933,2.305171,0.0307820299500832
1,1,0.0095824,0.3270341,0.2996044,0.00499168053244592
1,1,0.0023445,0.3489647,0.1836469,0.0324459234608985
1,1,0.0016101,0.3067525,0.0355202,0.0449251247920133
1,1,0.0008522,0.3292299,0.0502169,0.0370216306156406
1,1,0,0.344914,0.0579438,0.0103993344425957
1,1,0.0012659,0.3925183,0.1491136,0.00873544093178037
1,1,0.0012697,0.2322302,0.2068255,0.00540765391014975
1,1,0.0011969,0.1489181,0.5554389,0.00582362728785358
1,1,0.0011772,0.2711418,0.057708,0.00707154742096506
1,1,0.0050938,0.1763804,0.2489603,0.0149750415973378
1,0,0.0447607,0.003957,0.4618172,0.00707154742096506
1,0,0.274608,0,0.3201566,0.00374376039933444
1,1,0.1790737,0.0035938,0.3707405,0.0108153078202995
1,1,0.0856833,0,0.3511518,0.0045757071547421
1,1,0.0982291,0,0.3496533,0.00499168053244592
1,1,0.1303234,0,0.3363555,0.00415973377703827
1,1,0.1130005,0.0171614,0.3803895,0.0062396006655574
0,1,0.1189668,0.0071735,0.3827779,0.0045757071547421
0,0,0.5123786,0,0.5688193,0.0153910149750416
1,1,0.0625973,0,0.3234954,0.00415973377703827
1,1,0.291424,0.0153939,0.491362,0.012063227953411
0,1,0.2045357,0,0.6427355,0.0116472545757072
0,0,0.1057863,0,0.4994909,0.00582362728785358
0,0,0.1109178,0,0.4254237,0.00374376039933444
1,0,0.1709772,0.009216,0.4848941,0.00374376039933444
1,0,0.1313982,0,0.7991436,0.0128951747088186
1,1,0.1530543,0,0.5767965,0.00582362728785358
0,1,0.0878588,0,0.3920739,0.00540765391014975
0,0,0.2109004,0,0.3377339,0.00415973377703827
1,0,0.0720058,0.0035464,0.3826981,0.0045757071547421
1,0,0.1460038,0,1.640794,0.0045757071547421
1,1,0.5129243,0,0.4271155,0.00873544093178037
1,0,0.8285007,0,0.5015054,0.0253743760399334
1,1,0.7159368,0,0.6061451,0.00499168053244592
1,1,0.1848991,0,0.2931471,0.0045757071547421
1,0,0.1942556,0,0.3326729,0.00748752079866889
0,0,0.0855893,0,0.4584649,0.0062396006655574
1,0,0.1355099,0,0.3408442,0.0145590682196339
1,1,0.0897907,0,0.39324,0.00415973377703827
1,1,0.1582791,0,0.3313508,0.0045757071547421
1,1,0.1959375,0,0.3794743,0.00415973377703827
1,1,0.3875924,0,0.4242954,0.00499168053244592
